accession,model_entity_id,latest_version,mean_plddt,organism,tax_id,gene,description,uniprot_id,seq_length,cif_url
A0A3M1LHW0,AF-A0A3M1LHW0-F1,6,95.81,Nitrososphaerota archaeon,2026795,D6752_05475,Type II methionyl aminopeptidase,A0A3M1LHW0_UNCNO,33,https://alphafold.ebi.ac.uk/files/AF-A0A3M1LHW0-F1-model_v6.cif
A0A3M1LK14,AF-A0A3M1LK14-F1,6,97.06,Nitrososphaerota archaeon,2026795,D6752_04035,Blue (type 1) copper domain-containing protein,A0A3M1LK14_UNCNO,32,https://alphafold.ebi.ac.uk/files/AF-A0A3M1LK14-F1-model_v6.cif
A0A3M1LK61,AF-A0A3M1LK61-F1,6,96.12,Nitrososphaerota archaeon,2026795,D6752_04290,Nitroreductase,A0A3M1LK61_UNCNO,47,https://alphafold.ebi.ac.uk/files/AF-A0A3M1LK61-F1-model_v6.cif
A0A3M1LLL7,AF-A0A3M1LLL7-F1,6,96.94,Nitrososphaerota archaeon,2026795,D6752_01710,Thymidylate kinase,A0A3M1LLL7_UNCNO,50,https://alphafold.ebi.ac.uk/files/AF-A0A3M1LLL7-F1-model_v6.cif
A0A3M1LN27,AF-A0A3M1LN27-F1,6,95.31,Nitrososphaerota archaeon,2026795,D6752_00965,Acylphosphatase,A0A3M1LN27_UNCNO,37,https://alphafold.ebi.ac.uk/files/AF-A0A3M1LN27-F1-model_v6.cif
A0A3M1LPS3,AF-A0A3M1LPS3-F1,6,96.62,Nitrososphaerota archaeon,2026795,D6752_00875,Zinc-ribbon domain-containing protein,A0A3M1LPS3_UNCNO,23,https://alphafold.ebi.ac.uk/files/AF-A0A3M1LPS3-F1-model_v6.cif
A0A3M9LMY0,AF-A0A3M9LMY0-F1,6,95.81,Methanohalophilus sp. RSK,2485783,EFE42_04485,Desulfoferrodoxin FeS4 iron-binding domain-containing protein,A0A3M9LMY0_9EURY,40,https://alphafold.ebi.ac.uk/files/AF-A0A3M9LMY0-F1-model_v6.cif
A0A3M9ZV07,AF-A0A3M9ZV07-F1,6,95.5,Nitrosopumilus sp. D6,2478554,EB828_04410,CTP synthase (glutamine hydrolyzing),A0A3M9ZV07_9ARCH,49,https://alphafold.ebi.ac.uk/files/AF-A0A3M9ZV07-F1-model_v6.cif
A0A3M9ZZ00,AF-A0A3M9ZZ00-F1,6,95.69,Nitrosopumilus sp. H13,2478556,EB830_01405,CoA-binding protein,A0A3M9ZZ00_9ARCH,41,https://alphafold.ebi.ac.uk/files/AF-A0A3M9ZZ00-F1-model_v6.cif
A0A3R7DRJ2,AF-A0A3R7DRJ2-F1,6,95.12,Candidatus Bathyarchaeota archaeon,2026714,CW667_05595,Desulfoferrodoxin FeS4 iron-binding domain-containing protein,A0A3R7DRJ2_9ARCH,38,https://alphafold.ebi.ac.uk/files/AF-A0A3R7DRJ2-F1-model_v6.cif
A0A3R7VPW5,AF-A0A3R7VPW5-F1,6,95.12,Methanocalculus sp. MSAO_Arc1,2293854,D5R99_04760,4Fe-4S Mo/W bis-MGD-type domain-containing protein,A0A3R7VPW5_9EURY,40,https://alphafold.ebi.ac.uk/files/AF-A0A3R7VPW5-F1-model_v6.cif
A0A421DU79,AF-A0A421DU79-F1,6,95.94,Haloarcula sp. Atlit-120R,2282135,DVK01_21540,NADPH:quinone oxidoreductase,A0A421DU79_9EURY,49,https://alphafold.ebi.ac.uk/files/AF-A0A421DU79-F1-model_v6.cif
A0A432I0P7,AF-A0A432I0P7-F1,6,96.25,Candidatus Poseidoniales archaeon,2163009,DSY88_05030,Amidohydrolase 3 domain-containing protein,A0A432I0P7_9ARCH,43,https://alphafold.ebi.ac.uk/files/AF-A0A432I0P7-F1-model_v6.cif
A0A432I6S4,AF-A0A432I6S4-F1,6,96.19,Candidatus Poseidoniales archaeon,2163009,DSY88_00265,Serine hydroxymethyltransferase-like domain-containing protein,A0A432I6S4_9ARCH,40,https://alphafold.ebi.ac.uk/files/AF-A0A432I6S4-F1-model_v6.cif
A0A495R914,AF-A0A495R914-F1,6,95.88,Haloarcula quadrata,182779,BDK61_3166,ABC transmembrane type-1 domain-containing protein,A0A495R914_9EURY,39,https://alphafold.ebi.ac.uk/files/AF-A0A495R914-F1-model_v6.cif
A0A495R9V0,AF-A0A495R9V0-F1,6,95.88,Haloarcula quadrata,182779,BDK61_3462,Transporter,A0A495R9V0_9EURY,41,https://alphafold.ebi.ac.uk/files/AF-A0A495R9V0-F1-model_v6.cif
A0A497IHI4,AF-A0A497IHI4-F1,6,96.0,Methanosarcinales archaeon,2250255,DRN85_08990,tRNA (Pseudouridine(54)-N(1))-methyltransferase TrmY,A0A497IHI4_9EURY,28,https://alphafold.ebi.ac.uk/files/AF-A0A497IHI4-F1-model_v6.cif
A0A497KMA1,AF-A0A497KMA1-F1,6,96.56,Candidatus Bathyarchaeota archaeon,2026714,DRO31_01040,Desulfoferrodoxin,A0A497KMA1_9ARCH,38,https://alphafold.ebi.ac.uk/files/AF-A0A497KMA1-F1-model_v6.cif
A0A497PY88,AF-A0A497PY88-F1,6,95.12,Thorarchaeota archaeon (strain OWC),2053491,DRO87_06085,Desulfoferrodoxin,A0A497PY88_THOAR,40,https://alphafold.ebi.ac.uk/files/AF-A0A497PY88-F1-model_v6.cif
A0A4U7F0R4,AF-A0A4U7F0R4-F1,6,97.19,Halorubrum sp. SD626R,1419722,EXE53_26645,superoxide dismutase,A0A4U7F0R4_9EURY,50,https://alphafold.ebi.ac.uk/files/AF-A0A4U7F0R4-F1-model_v6.cif
A0A4U7F4A3,AF-A0A4U7F4A3-F1,6,96.5,Halorubrum sp. SD626R,1419722,EXE53_18790,Superoxide dismutase,A0A4U7F4A3_9EURY,40,https://alphafold.ebi.ac.uk/files/AF-A0A4U7F4A3-F1-model_v6.cif
A0A510DZD2,AF-A0A510DZD2-F1,6,96.69,Sulfuracidifex tepidarius,1294262,IC006_0125,Uncharacterized protein,A0A510DZD2_9CREN,46,https://alphafold.ebi.ac.uk/files/AF-A0A510DZD2-F1-model_v6.cif
A0A519BR66,AF-A0A519BR66-F1,6,96.44,uncultured DHVE6 group euryarchaeote,2077317,CXT77_04595,Proteasome assembly chaperone family protein,A0A519BR66_9EURY,47,https://alphafold.ebi.ac.uk/files/AF-A0A519BR66-F1-model_v6.cif
A0A519BS09,AF-A0A519BS09-F1,6,95.88,uncultured DHVE6 group euryarchaeote,2077317,CXT77_03665,4a-hydroxytetrahydrobiopterin dehydratase,A0A519BS09_9EURY,48,https://alphafold.ebi.ac.uk/files/AF-A0A519BS09-F1-model_v6.cif
A0A519BYY9,AF-A0A519BYY9-F1,6,95.62,Nitrososphaerota archaeon,2026795,CXT79_05105,Lysine biosynthesis enzyme LysX,A0A519BYY9_UNCNO,46,https://alphafold.ebi.ac.uk/files/AF-A0A519BYY9-F1-model_v6.cif
A0A519C2G9,AF-A0A519C2G9-F1,6,95.75,Nitrososphaerota archaeon,2026795,CXT79_02780,peptide-methionine (S)-S-oxide reductase,A0A519C2G9_UNCNO,32,https://alphafold.ebi.ac.uk/files/AF-A0A519C2G9-F1-model_v6.cif
A0A519CKS0,AF-A0A519CKS0-F1,6,96.5,Nitrososphaerota archaeon,2026795,CXT78_12315,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,A0A519CKS0_UNCNO,39,https://alphafold.ebi.ac.uk/files/AF-A0A519CKS0-F1-model_v6.cif
A0A519CLK2,AF-A0A519CLK2-F1,6,95.25,Nitrososphaerota archaeon,2026795,CXT78_11475,TIGR00269 family protein,A0A519CLK2_UNCNO,47,https://alphafold.ebi.ac.uk/files/AF-A0A519CLK2-F1-model_v6.cif
A0A519CU77,AF-A0A519CU77-F1,6,95.69,Nitrososphaerota archaeon,2026795,CXT78_07500,C-methyltransferase domain-containing protein,A0A519CU77_UNCNO,40,https://alphafold.ebi.ac.uk/files/AF-A0A519CU77-F1-model_v6.cif
A0A520K3A4,AF-A0A520K3A4-F1,6,95.19,Methanosarcinales archaeon,2250255,EF813_05515,Gfo/Idh/MocA family oxidoreductase,A0A520K3A4_9EURY,50,https://alphafold.ebi.ac.uk/files/AF-A0A520K3A4-F1-model_v6.cif
A0A520K6T6,AF-A0A520K6T6-F1,6,96.75,Methanosarcinales archaeon,2250255,EF813_02665,Desulfoferrodoxin FeS4 iron-binding domain-containing protein,A0A520K6T6_9EURY,37,https://alphafold.ebi.ac.uk/files/AF-A0A520K6T6-F1-model_v6.cif
A0A520KLZ7,AF-A0A520KLZ7-F1,6,96.5,Methanonatronarchaeia archaeon,2099682,EF811_03140,"pyruvate, water dikinase",A0A520KLZ7_9EURY,48,https://alphafold.ebi.ac.uk/files/AF-A0A520KLZ7-F1-model_v6.cif
A0A523ASN7,AF-A0A523ASN7-F1,6,96.19,Hadesarchaea archaeon,2250276,DSO03_04465,Gamma carbonic anhydrase family protein,A0A523ASN7_9ARCH,45,https://alphafold.ebi.ac.uk/files/AF-A0A523ASN7-F1-model_v6.cif
A0A523AT74,AF-A0A523AT74-F1,6,95.81,Hadesarchaea archaeon,2250276,DSO03_04080,Histidinol dehydrogenase,A0A523AT74_9ARCH,43,https://alphafold.ebi.ac.uk/files/AF-A0A523AT74-F1-model_v6.cif
A0A523AVT4,AF-A0A523AVT4-F1,6,97.75,Hadesarchaea archaeon,2250276,DSO03_02235,Formylmethanofuran--tetrahydromethanopterin N-formyltransferase,A0A523AVT4_9ARCH,47,https://alphafold.ebi.ac.uk/files/AF-A0A523AVT4-F1-model_v6.cif
A0A523AYL0,AF-A0A523AYL0-F1,6,95.62,Hadesarchaea archaeon,2250276,DSO02_03705,23S rRNA (Uridine(2552)-2'-O)-methyltransferase,A0A523AYL0_9ARCH,46,https://alphafold.ebi.ac.uk/files/AF-A0A523AYL0-F1-model_v6.cif
A0A523AYZ6,AF-A0A523AYZ6-F1,6,95.62,Hadesarchaea archaeon,2250276,DSO02_03400,CooT family nickel-binding protein,A0A523AYZ6_9ARCH,30,https://alphafold.ebi.ac.uk/files/AF-A0A523AYZ6-F1-model_v6.cif
A0A523BEK8,AF-A0A523BEK8-F1,6,96.81,Candidatus Methanomethylicota archaeon,2250257,DSO09_02330,DNA-binding protein,A0A523BEK8_9ARCH,36,https://alphafold.ebi.ac.uk/files/AF-A0A523BEK8-F1-model_v6.cif
A0A523SSL6,AF-A0A523SSL6-F1,6,95.5,Candidatus Bathyarchaeota archaeon,2026714,E3I90_00085,NDP-sugar synthase,A0A523SSL6_9ARCH,34,https://alphafold.ebi.ac.uk/files/AF-A0A523SSL6-F1-model_v6.cif
A0A524FGV4,AF-A0A524FGV4-F1,6,96.81,Promethearchaeota archaeon,2053489,EU529_03660,Rubredoxin,A0A524FGV4_9ARCH,44,https://alphafold.ebi.ac.uk/files/AF-A0A524FGV4-F1-model_v6.cif
A0A533U6D3,AF-A0A533U6D3-F1,6,96.88,Nitrososphaerota archaeon,2026795,E6L02_06815,NAD(P)-dependent oxidoreductase,A0A533U6D3_UNCNO,49,https://alphafold.ebi.ac.uk/files/AF-A0A533U6D3-F1-model_v6.cif
A0A533UJM1,AF-A0A533UJM1-F1,6,95.44,Nitrososphaerota archaeon,2026795,E6L05_00590,Cysteinyl-tRNA synthetase,A0A533UJM1_UNCNO,41,https://alphafold.ebi.ac.uk/files/AF-A0A533UJM1-F1-model_v6.cif
A0A533UWQ2,AF-A0A533UWQ2-F1,6,95.06,Nitrososphaerota archaeon,2026795,E6L01_06350,3-phosphoglycerate dehydrogenase,A0A533UWQ2_UNCNO,46,https://alphafold.ebi.ac.uk/files/AF-A0A533UWQ2-F1-model_v6.cif
A0A533V157,AF-A0A533V157-F1,6,97.38,Nitrososphaerota archaeon,2026795,E6L04_03095,Universal stress protein,A0A533V157_UNCNO,36,https://alphafold.ebi.ac.uk/files/AF-A0A533V157-F1-model_v6.cif
A0A533V2Q5,AF-A0A533V2Q5-F1,6,96.0,Nitrososphaerota archaeon,2026795,E6L01_02660,"Fructose 1,6-bisphosphatase",A0A533V2Q5_UNCNO,43,https://alphafold.ebi.ac.uk/files/AF-A0A533V2Q5-F1-model_v6.cif
A0A533V4X6,AF-A0A533V4X6-F1,6,96.12,Nitrososphaerota archaeon,2026795,E6K97_07240,Acetyl-CoA carboxylase biotin carboxylase subunit,A0A533V4X6_UNCNO,50,https://alphafold.ebi.ac.uk/files/AF-A0A533V4X6-F1-model_v6.cif
A0A533V523,AF-A0A533V523-F1,6,96.19,Nitrososphaerota archaeon,2026795,E6K97_07200,Sulfurtransferase,A0A533V523_UNCNO,48,https://alphafold.ebi.ac.uk/files/AF-A0A533V523-F1-model_v6.cif
A0A533VIP4,AF-A0A533VIP4-F1,6,96.31,Nitrososphaerota archaeon,2026795,E6K93_02925,Methionine synthase,A0A533VIP4_UNCNO,35,https://alphafold.ebi.ac.uk/files/AF-A0A533VIP4-F1-model_v6.cif
A0A533VJR1,AF-A0A533VJR1-F1,6,95.75,Nitrososphaerota archaeon,2026795,E6K96_09680,DNA-3-methyladenine glycosylase,A0A533VJR1_UNCNO,37,https://alphafold.ebi.ac.uk/files/AF-A0A533VJR1-F1-model_v6.cif
A0A533VSR0,AF-A0A533VSR0-F1,6,95.19,Nitrososphaerota archaeon,2026795,E6K91_01180,NAD-dependent malic enzyme,A0A533VSR0_UNCNO,45,https://alphafold.ebi.ac.uk/files/AF-A0A533VSR0-F1-model_v6.cif
A0A533VW71,AF-A0A533VW71-F1,6,96.06,Nitrososphaerota archaeon,2026795,E6K90_10560,Blue (type 1) copper domain-containing protein,A0A533VW71_UNCNO,41,https://alphafold.ebi.ac.uk/files/AF-A0A533VW71-F1-model_v6.cif
A0A533W8U5,AF-A0A533W8U5-F1,6,95.81,Nitrososphaerota archaeon,2026795,E6K95_06605,PIG-L family deacetylase,A0A533W8U5_UNCNO,27,https://alphafold.ebi.ac.uk/files/AF-A0A533W8U5-F1-model_v6.cif
A0A533WKQ8,AF-A0A533WKQ8-F1,6,96.19,Nitrososphaerota archaeon,2026795,E6K88_08780,SDR family NAD(P)-dependent oxidoreductase,A0A533WKQ8_UNCNO,50,https://alphafold.ebi.ac.uk/files/AF-A0A533WKQ8-F1-model_v6.cif
A0A533WM15,AF-A0A533WM15-F1,6,95.06,Nitrososphaerota archaeon,2026795,E6K88_07995,Translation factor Sua5,A0A533WM15_UNCNO,49,https://alphafold.ebi.ac.uk/files/AF-A0A533WM15-F1-model_v6.cif
A0A533WMV9,AF-A0A533WMV9-F1,6,95.19,Nitrososphaerota archaeon,2026795,E6K83_07450,Aminodeoxychorismate/anthranilate synthase component II,A0A533WMV9_UNCNO,41,https://alphafold.ebi.ac.uk/files/AF-A0A533WMV9-F1-model_v6.cif
A0A533WY04,AF-A0A533WY04-F1,6,95.0,Nitrososphaerota archaeon,2026795,E6K88_04850,Dihydrolipoamide dehydrogenase,A0A533WY04_UNCNO,48,https://alphafold.ebi.ac.uk/files/AF-A0A533WY04-F1-model_v6.cif
A0A533WZX1,AF-A0A533WZX1-F1,6,96.12,Nitrososphaerota archaeon,2026795,E6K88_02180,Acyl-CoA thioesterase,A0A533WZX1_UNCNO,50,https://alphafold.ebi.ac.uk/files/AF-A0A533WZX1-F1-model_v6.cif
A0A533X1P5,AF-A0A533X1P5-F1,6,97.88,Nitrososphaerota archaeon,2026795,E6K88_02470,O-methyltransferase,A0A533X1P5_UNCNO,49,https://alphafold.ebi.ac.uk/files/AF-A0A533X1P5-F1-model_v6.cif
A0A533XGD3,AF-A0A533XGD3-F1,6,95.38,Nitrososphaerota archaeon,2026795,E6K86_02980,Uracil phosphoribosyltransferase,A0A533XGD3_UNCNO,46,https://alphafold.ebi.ac.uk/files/AF-A0A533XGD3-F1-model_v6.cif
A0A533XLT4,AF-A0A533XLT4-F1,6,95.69,Nitrososphaerota archaeon,2026795,E6K86_00365,Ester cyclase,A0A533XLT4_UNCNO,32,https://alphafold.ebi.ac.uk/files/AF-A0A533XLT4-F1-model_v6.cif
A0A538P2N2,AF-A0A538P2N2-F1,6,96.19,Nitrososphaerota archaeon,2026795,E6K99_08375,Phosphoribosylamine-glycine ligase,A0A538P2N2_UNCNO,43,https://alphafold.ebi.ac.uk/files/AF-A0A538P2N2-F1-model_v6.cif
A0A538P8P9,AF-A0A538P8P9-F1,6,97.12,Nitrososphaerota archaeon,2026795,E6K99_03560,Biotin carboxylation domain-containing protein,A0A538P8P9_UNCNO,43,https://alphafold.ebi.ac.uk/files/AF-A0A538P8P9-F1-model_v6.cif
A0A538P9J5,AF-A0A538P9J5-F1,6,95.94,Nitrososphaerota archaeon,2026795,E6K99_03095,M20/M25/M40 family metallo-hydrolase,A0A538P9J5_UNCNO,48,https://alphafold.ebi.ac.uk/files/AF-A0A538P9J5-F1-model_v6.cif
A0A550D5K8,AF-A0A550D5K8-F1,6,96.06,Sulfolobus sp. F3,2200886,DJ522_00295,NAD(P)-dependent oxidoreductase,A0A550D5K8_9CREN,49,https://alphafold.ebi.ac.uk/files/AF-A0A550D5K8-F1-model_v6.cif
A0A550GLI6,AF-A0A550GLI6-F1,6,96.88,Candidatus Bathyarchaeota archaeon,2026714,E2P65_04560,Desulfoferrodoxin FeS4 iron-binding domain-containing protein,A0A550GLI6_9ARCH,38,https://alphafold.ebi.ac.uk/files/AF-A0A550GLI6-F1-model_v6.cif
A0A558GAE9,AF-A0A558GAE9-F1,6,95.0,Haloferax volcanii,2246,rpl39e,Large ribosomal subunit protein eL39,A0A558GAE9_HALVO,50,https://alphafold.ebi.ac.uk/files/AF-A0A558GAE9-F1-model_v6.cif
A0A5C9ESF5,AF-A0A5C9ESF5-F1,6,95.44,Promethearchaeota archaeon,2053489,dsr,Desulfoferrodoxin FeS4 iron-binding domain-containing protein,A0A5C9ESF5_9ARCH,39,https://alphafold.ebi.ac.uk/files/AF-A0A5C9ESF5-F1-model_v6.cif
A0A5E4HI60,AF-A0A5E4HI60-F1,6,95.56,Uncultured archaeon,115547,LFW24_02910,PIN domain-containing protein,A0A5E4HI60_UNCAX,44,https://alphafold.ebi.ac.uk/files/AF-A0A5E4HI60-F1-model_v6.cif
A0A5E4HJN0,AF-A0A5E4HJN0-F1,6,95.62,Uncultured archaeon,115547,LFW24_00544,Tetratricopeptide repeat protein,A0A5E4HJN0_UNCAX,39,https://alphafold.ebi.ac.uk/files/AF-A0A5E4HJN0-F1-model_v6.cif
A0A5E4HP61,AF-A0A5E4HP61-F1,6,95.75,Uncultured archaeon,115547,LFW24_01203,PD-(D/E)XK nuclease superfamily protein,A0A5E4HP61_UNCAX,50,https://alphafold.ebi.ac.uk/files/AF-A0A5E4HP61-F1-model_v6.cif
A0A5E4I7H3,AF-A0A5E4I7H3-F1,6,97.5,Uncultured archaeon,115547,LFW682_01865,Bacterial transferase hexapeptide (Six repeats),A0A5E4I7H3_UNCAX,37,https://alphafold.ebi.ac.uk/files/AF-A0A5E4I7H3-F1-model_v6.cif
A0A5E4IG34,AF-A0A5E4IG34-F1,6,95.25,Uncultured archaeon,115547,LFW831_00819,CobW/HypB/UreG nucleotide-binding domain-containing protein,A0A5E4IG34_UNCAX,38,https://alphafold.ebi.ac.uk/files/AF-A0A5E4IG34-F1-model_v6.cif
A0A5E4IH91,AF-A0A5E4IH91-F1,6,96.44,Uncultured archaeon,115547,LFW831_01603,PIN domain-containing protein,A0A5E4IH91_UNCAX,46,https://alphafold.ebi.ac.uk/files/AF-A0A5E4IH91-F1-model_v6.cif
A0A5E4IJB0,AF-A0A5E4IJB0-F1,6,95.75,Uncultured archaeon,115547,mutL_2,DNA mismatch repair protein MutL,A0A5E4IJB0_UNCAX,44,https://alphafold.ebi.ac.uk/files/AF-A0A5E4IJB0-F1-model_v6.cif
A0A5E4ILE0,AF-A0A5E4ILE0-F1,6,96.81,Uncultured archaeon,115547,yccX_2,acylphosphatase,A0A5E4ILE0_UNCAX,48,https://alphafold.ebi.ac.uk/files/AF-A0A5E4ILE0-F1-model_v6.cif
A0A5E4ISJ4,AF-A0A5E4ISJ4-F1,6,95.12,Uncultured archaeon,115547,LFW1511_00076,PAC2 family protein,A0A5E4ISJ4_UNCAX,39,https://alphafold.ebi.ac.uk/files/AF-A0A5E4ISJ4-F1-model_v6.cif
A0A5E4J1K7,AF-A0A5E4J1K7-F1,6,96.0,Uncultured archaeon,115547,LFW1561_00623,Uncharacterized protein,A0A5E4J1K7_UNCAX,37,https://alphafold.ebi.ac.uk/files/AF-A0A5E4J1K7-F1-model_v6.cif
A0A5E4J7J9,AF-A0A5E4J7J9-F1,6,96.88,Uncultured archaeon,115547,uvrA,UvrABC system protein A,A0A5E4J7J9_UNCAX,47,https://alphafold.ebi.ac.uk/files/AF-A0A5E4J7J9-F1-model_v6.cif
A0A5E4JHA9,AF-A0A5E4JHA9-F1,6,96.75,Uncultured archaeon,115547,LFW2522_00166,Uncharacterized protein,A0A5E4JHA9_UNCAX,49,https://alphafold.ebi.ac.uk/files/AF-A0A5E4JHA9-F1-model_v6.cif
A0A5E4K421,AF-A0A5E4K421-F1,6,95.25,Uncultured archaeon,115547,LFW2731_00598,Uncharacterized protein,A0A5E4K421_UNCAX,32,https://alphafold.ebi.ac.uk/files/AF-A0A5E4K421-F1-model_v6.cif
A0A5E4K5U7,AF-A0A5E4K5U7-F1,6,95.56,Uncultured archaeon,115547,nadE_1,Putative NH(3)-dependent NAD(+) synthetase,A0A5E4K5U7_UNCAX,46,https://alphafold.ebi.ac.uk/files/AF-A0A5E4K5U7-F1-model_v6.cif
A0A5E4K9E0,AF-A0A5E4K9E0-F1,6,95.25,Uncultured archaeon,115547,LFW28031_00628,DUF86 domain-containing protein,A0A5E4K9E0_UNCAX,41,https://alphafold.ebi.ac.uk/files/AF-A0A5E4K9E0-F1-model_v6.cif
A0A5E4KHE1,AF-A0A5E4KHE1-F1,6,97.38,Uncultured archaeon,115547,hdlA_2,Heterodisulfide reductase subunit A-like protein,A0A5E4KHE1_UNCAX,42,https://alphafold.ebi.ac.uk/files/AF-A0A5E4KHE1-F1-model_v6.cif
A0A5E4KT12,AF-A0A5E4KT12-F1,6,95.69,Uncultured archaeon,115547,LFW28031_02955,Uncharacterized protein,A0A5E4KT12_UNCAX,32,https://alphafold.ebi.ac.uk/files/AF-A0A5E4KT12-F1-model_v6.cif
A0A5E4L400,AF-A0A5E4L400-F1,6,95.75,Uncultured archaeon,115547,LFW2804_00489,Desulfoferrodoxin N-terminal domain-containing protein,A0A5E4L400_UNCAX,40,https://alphafold.ebi.ac.uk/files/AF-A0A5E4L400-F1-model_v6.cif
A0A5E4LE60,AF-A0A5E4LE60-F1,6,95.81,Uncultured archaeon,115547,LFW2814_00472,Uncharacterized protein,A0A5E4LE60_UNCAX,44,https://alphafold.ebi.ac.uk/files/AF-A0A5E4LE60-F1-model_v6.cif
A0A5N5UDU8,AF-A0A5N5UDU8-F1,6,95.06,Halosegnis rubeus,2212850,rpl39e,Large ribosomal subunit protein eL39,A0A5N5UDU8_9EURY,50,https://alphafold.ebi.ac.uk/files/AF-A0A5N5UDU8-F1-model_v6.cif
A0A660HR30,AF-A0A660HR30-F1,6,95.44,Methanosarcina flavescens,1715806,AOB57_005725,Type II toxin-antitoxin system HicB family antitoxin,A0A660HR30_9EURY,45,https://alphafold.ebi.ac.uk/files/AF-A0A660HR30-F1-model_v6.cif
A0A662PMX3,AF-A0A662PMX3-F1,6,97.56,Nitrososphaerota archaeon,2026795,DRN47_05505,Adenosine monophosphate-protein transferase,A0A662PMX3_UNCNO,45,https://alphafold.ebi.ac.uk/files/AF-A0A662PMX3-F1-model_v6.cif
A0A662PNS1,AF-A0A662PNS1-F1,6,96.62,Nitrososphaerota archaeon,2026795,DRN47_02645,Ribonuclease H,A0A662PNS1_UNCNO,50,https://alphafold.ebi.ac.uk/files/AF-A0A662PNS1-F1-model_v6.cif
A0A662PVT5,AF-A0A662PVT5-F1,6,96.12,Nitrososphaerota archaeon,2026795,DRN54_03650,Phosphohistidine phosphatase SixA,A0A662PVT5_UNCNO,41,https://alphafold.ebi.ac.uk/files/AF-A0A662PVT5-F1-model_v6.cif
A0A662PX72,AF-A0A662PX72-F1,6,96.88,Nitrososphaerota archaeon,2026795,DRN54_03320,2-deoxyribose-5-phosphate aldolase,A0A662PX72_UNCNO,47,https://alphafold.ebi.ac.uk/files/AF-A0A662PX72-F1-model_v6.cif
A0A662Q049,AF-A0A662Q049-F1,6,95.69,Nitrososphaerota archaeon,2026795,DRN54_01990,UDP-glucose/GDP-mannose dehydrogenase N-terminal domain-containing protein,A0A662Q049_UNCNO,43,https://alphafold.ebi.ac.uk/files/AF-A0A662Q049-F1-model_v6.cif
A0A662Q1I9,AF-A0A662Q1I9-F1,6,97.06,Nitrososphaerota archaeon,2026795,DRN65_07335,Homoserine kinase,A0A662Q1I9_UNCNO,41,https://alphafold.ebi.ac.uk/files/AF-A0A662Q1I9-F1-model_v6.cif
A0A662Q1V9,AF-A0A662Q1V9-F1,6,95.88,Nitrososphaerota archaeon,2026795,DRN68_08775,ATP-binding protein,A0A662Q1V9_UNCNO,31,https://alphafold.ebi.ac.uk/files/AF-A0A662Q1V9-F1-model_v6.cif
A0A662Q584,AF-A0A662Q584-F1,6,95.75,Nitrososphaerota archaeon,2026795,DRN68_07120,Alcohol dehydrogenase,A0A662Q584_UNCNO,43,https://alphafold.ebi.ac.uk/files/AF-A0A662Q584-F1-model_v6.cif
A0A662Q601,AF-A0A662Q601-F1,6,95.44,Nitrososphaerota archaeon,2026795,DRN59_02285,CopG family transcriptional regulator,A0A662Q601_UNCNO,39,https://alphafold.ebi.ac.uk/files/AF-A0A662Q601-F1-model_v6.cif
A0A662QA52,AF-A0A662QA52-F1,6,95.69,Nitrososphaerota archaeon,2026795,DRN65_03105,Cof-type HAD-IIB family hydrolase,A0A662QA52_UNCNO,46,https://alphafold.ebi.ac.uk/files/AF-A0A662QA52-F1-model_v6.cif
A0A662QCF6,AF-A0A662QCF6-F1,6,95.75,Nitrososphaerota archaeon,2026795,DRN65_01815,Hydrolase,A0A662QCF6_UNCNO,41,https://alphafold.ebi.ac.uk/files/AF-A0A662QCF6-F1-model_v6.cif
A0A662QCK9,AF-A0A662QCK9-F1,6,97.94,Nitrososphaerota archaeon,2026795,DRN68_02240,Acetate kinase,A0A662QCK9_UNCNO,45,https://alphafold.ebi.ac.uk/files/AF-A0A662QCK9-F1-model_v6.cif
A0A662QEP8,AF-A0A662QEP8-F1,6,96.94,Nitrososphaerota archaeon,2026795,DRN64_03295,Diphthine synthase,A0A662QEP8_UNCNO,41,https://alphafold.ebi.ac.uk/files/AF-A0A662QEP8-F1-model_v6.cif
A0A662QXS3,AF-A0A662QXS3-F1,6,96.94,Methanosarcinales archaeon,2250255,DRN77_08905,Desulfoferrodoxin N-terminal domain-containing protein,A0A662QXS3_9EURY,38,https://alphafold.ebi.ac.uk/files/AF-A0A662QXS3-F1-model_v6.cif
A0A662R080,AF-A0A662R080-F1,6,95.44,Methanosarcinales archaeon,2250255,DRN77_06675,3-isopropylmalate dehydratase,A0A662R080_9EURY,25,https://alphafold.ebi.ac.uk/files/AF-A0A662R080-F1-model_v6.cif
A0A662R097,AF-A0A662R097-F1,6,95.38,Methanosarcinales archaeon,2250255,DRN77_06925,Precorrin-4 C(11)-methyltransferase,A0A662R097_9EURY,35,https://alphafold.ebi.ac.uk/files/AF-A0A662R097-F1-model_v6.cif
A0A662R0I2,AF-A0A662R0I2-F1,6,95.62,Methanosarcinales archaeon,2250255,DRN77_08220,Winged helix-turn-helix transcription repressor HrcA DNA-binding domain-containing protein,A0A662R0I2_9EURY,41,https://alphafold.ebi.ac.uk/files/AF-A0A662R0I2-F1-model_v6.cif
