BMRB_ID	PDB_ID	RESOLUTION	SEQ_IDENTITY	SEQ_LENGTH	SEQ_OFFSET	HA	CA	CB	CO	N	HN	AVG_CORR	HA_CORR	CA_CORR	CB_CORR	CO_CORR	N_CORR	HN_CORR	HA_RMSD	CA_RMSD	CB_RMSD	CO_RMSD	N_RMSD	HN_RMSD	HA_CSDIFF	CA_CSDIFF	CB_CSDIFF	CO_CSDIFF	N_CSDIFF	HN_CSDIFF
bmr4452	2AFPA	NMR	100.0	129	0	1				1	1	0.467	0.560	N/A	N/A	N/A	0.413	0.428	0.194	N/A	N/A	N/A	2.705	0.452	-0.06	N/A	N/A	N/A	-0.60	-0.17
bmr4453	1H8BA	NMR	100.0	73	2	1	1	1	1	1	1	0.737	0.671	0.958	0.994	0.782	0.647	0.371	0.170	0.892	0.912	1.037	2.121	0.345	0.04	-0.36	-0.02	-0.25	-0.01	-0.10
bmr4455	1QA9B	3.20	100.0	95	0	1	1	1	1	1	1	0.764	0.720	0.917	0.993	0.591	0.772	0.590	0.188	0.910	0.834	0.866	1.996	0.342	-0.04	0.08	-0.41	0.11	0.73	-0.05
bmr4458	1ABA_	1.45	97.7	87	0						1	0.762	0.898	N/A	N/A	N/A	N/A	0.625	0.134	N/A	N/A	N/A	N/A	0.299	-0.03	N/A	N/A	N/A	N/A	0.02
bmr4459	1ABA_	1.45	97.7	87	0	1					1	0.750	0.901	N/A	N/A	N/A	N/A	0.599	0.143	N/A	N/A	N/A	N/A	0.324	-0.06	N/A	N/A	N/A	N/A	-0.03
bmr4460	1DPUA	NMR	100.0	69	34		1	1		1	1	0.794	0.854	0.971	0.986	N/A	0.707	0.453	0.122	0.754	1.152	N/A	2.069	0.334	-0.04	-0.02	-0.15	N/A	0.36	0.07
bmr4461	1DF6A	NMR	100.0	30	0						1	0.615	0.702	N/A	N/A	N/A	N/A	0.528	0.182	N/A	N/A	N/A	N/A	0.386	0.01	N/A	N/A	N/A	N/A	-0.10
bmr4465	1JVOJ	2.75	96.9	128	0					1	1	0.807	0.882	N/A	N/A	N/A	0.846	0.693	0.140	N/A	N/A	N/A	1.485	0.362	-0.04	N/A	N/A	N/A	-0.28	0.02
bmr4466	1ADWB	2.50	100.0	123	0	1				1	1	0.819	0.859	N/A	N/A	N/A	0.871	0.726	0.150	N/A	N/A	N/A	1.751	0.321	-0.01	N/A	N/A	N/A	0.01	0.01
bmr4467	1UB1A	NMR	100.0	125	0	1	1	1	1	1	1	0.655	0.565	0.961	0.989	0.455	0.615	0.343	0.183	0.930	1.132	0.948	2.516	0.478	-0.09	0.02	0.27	-0.49	-0.53	-0.14
bmr4470	1F0ZA	NMR	100.0	66	0	1	1	1		1	1	0.788	0.818	0.966	0.976	N/A	0.796	0.382	0.184	0.780	0.966	N/A	2.157	0.407	0.09	-0.44	-0.35	N/A	-0.05	0.15
bmr4472	1U8TA	1.50	98.4	128	1	1	1	1		1	1	0.869	0.888	0.965	0.996	N/A	0.871	0.626	0.133	0.908	0.593	N/A	1.766	0.343	-0.05	0.12	0.32	N/A	0.32	-0.06
bmr4473	2HWNB	1.60	100.0	46	0	1	1	1		1	1	0.858	0.890	0.983	0.997	N/A	0.842	0.578	0.114	0.652	0.580	N/A	1.237	0.232	-0.01	-0.31	0.30	N/A	-0.15	-0.04
bmr4475	1CR8A	NMR	100.0	42	2	1	1	1	1	1	1	0.677	0.546	0.935	0.970	N/A	0.541	0.391	0.166	1.261	1.368	N/A	2.190	0.424	0.10	2.39	2.81	N/A	-0.99	0.06
bmr4477					0						1	0.525	0.407	N/A	N/A	N/A	N/A	0.643	0.134	N/A	N/A	N/A	N/A	0.338	-0.18	N/A	N/A	N/A	N/A	-0.31
bmr4486	2MOBA	NMR	100.0	94	34		1	1		1	1	0.651	0.573	0.939	0.992	N/A	0.531	0.221	0.183	1.036	0.986	N/A	2.419	0.454	-0.14	-0.07	-0.41	N/A	0.04	-0.07
bmr4487	1CE3A	NMR	100.0	54	0	1					1	0.540	0.716	N/A	N/A	N/A	N/A	0.365	0.154	N/A	N/A	N/A	N/A	0.342	-0.01	N/A	N/A	N/A	N/A	-0.12
bmr4490	1CLVI	2.00	100.0	32	0						1	0.635	0.773	N/A	N/A	N/A	N/A	0.498	0.226	N/A	N/A	N/A	N/A	0.393	-0.04	N/A	N/A	N/A	N/A	-0.22
bmr4492	1JBAA	NMR	100.0	189	1	1	1	1	1	1	1	0.701	0.612	0.929	0.989	0.685	0.676	0.317	0.180	0.911	0.929	0.964	2.247	0.358	-0.02	-0.18	-0.09	-0.29	-1.15	-0.04
bmr4493	1UD7A	NMR	100.0	76	0	1	1	1		1	1	0.832	0.839	0.979	0.996	N/A	0.857	0.489	0.149	0.592	0.821	N/A	1.883	0.298	-0.03	-0.12	0.09	N/A	-0.71	-0.04
bmr4494	3LRIA	NMR	98.8	83	0	1				1	1	0.496	0.352	N/A	N/A	N/A	0.641	-0.143	0.179	N/A	N/A	N/A	2.224	0.431	-0.03	N/A	N/A	N/A	-0.95	-0.01
bmr4496	1OM2A	NMR	100.0	95	0		1	1	1	1	1	0.688	0.640	0.954	0.992	0.374	0.786	0.380	0.135	0.788	0.876	1.241	1.920	0.304	-0.02	0.03	0.19	-0.04	-0.26	-0.00
bmr4497	7HSCA	NMR	100.0	159	0	1	1	1	1	1	1	0.676	0.610	0.938	0.986	0.663	0.548	0.314	0.187	0.933	1.147	1.013	2.220	0.387	-0.10	0.02	-0.21	0.00	-0.90	-0.15
bmr4506	1CW5A	NMR	100.0	48	0							0.511	0.511	N/A	N/A	N/A	N/A	N/A	0.151	N/A	N/A	N/A	N/A	N/A	-0.03	N/A	N/A	N/A	N/A	N/A
bmr4507	1CW6A	NMR	100.0	37	0	1						0.765	0.765	N/A	N/A	N/A	N/A	N/A	0.204	N/A	N/A	N/A	N/A	N/A	-0.06	N/A	N/A	N/A	N/A	N/A
bmr4509	1AB1_	0.89	97.8	46	0						1	0.794	0.811	N/A	N/A	N/A	N/A	0.777	0.170	N/A	N/A	N/A	N/A	0.254	-0.05	N/A	N/A	N/A	N/A	-0.07
bmr4510	1CXWA	NMR	100.0	60	0	1				1	1	0.755	0.706	N/A	N/A	N/A	0.842	0.718	0.176	N/A	N/A	N/A	2.227	0.405	-0.05	N/A	N/A	N/A	0.94	0.01
bmr4516	1D5GA	NMR	100.0	96	0	1	1	1		1	1	0.779	0.751	0.967	0.991	N/A	0.746	0.440	0.174	1.075	1.066	N/A	2.242	0.429	-0.00	1.48	1.81	N/A	-0.38	-0.24
bmr4524	1DAVA	NMR	100.0	68	0	1				1	1	0.488	0.596	N/A	N/A	N/A	0.492	0.375	0.196	N/A	N/A	N/A	2.256	0.405	0.03	N/A	N/A	N/A	-0.91	0.03
bmr4526	2A5E_	NMR	99.2	125	9	1	1	1				0.986	N/A	0.978	0.994	N/A	N/A	N/A	N/A	0.733	0.897	N/A	N/A	N/A	N/A	0.05	-0.06	N/A	N/A	N/A
bmr4527	1KRWA	NMR	100.0	123	0		1	1		1	1	0.760	0.748	0.948	0.995	N/A	0.658	0.450	0.139	0.996	0.981	N/A	2.039	0.416	-0.09	0.18	-0.06	N/A	-0.29	-0.13
bmr4528	1KRWA	NMR	100.0	123	0	1	1	1		1	1	0.758	0.752	0.949	0.994	N/A	0.652	0.441	0.162	0.951	1.060	N/A	1.955	0.372	-0.11	0.29	0.02	N/A	-0.23	-0.14
bmr4540	1NLAB	NMR	100.0	53	0	1				1	1	0.515	0.557	N/A	N/A	N/A	0.649	0.339	0.154	N/A	N/A	N/A	1.975	0.369	-0.06	N/A	N/A	N/A	-1.46	-0.43
bmr4553	1XDGA	2.10	100.0	182	4		1	1		1	1	0.887	0.906	0.967	0.984	N/A	0.868	0.710	0.162	0.765	0.861	N/A	1.738	0.341	0.02	0.10	-0.01	N/A	-1.09	0.04
bmr4554	1RX2_	1.80	99.4	159	0		1	1	1	1	1	0.889	N/A	0.973	0.993	0.843	0.877	0.760	N/A	0.761	0.966	0.719	1.777	0.378	N/A	-0.15	0.13	-0.05	0.11	0.01
bmr4557	1QLOA	NMR	100.0	33	-1	1					1	0.498	0.649	N/A	N/A	N/A	N/A	0.347	0.141	N/A	N/A	N/A	N/A	0.235	0.02	N/A	N/A	N/A	N/A	0.01
bmr4558	1K46A	2.20	100.0	124	1		1	1	1	1	1	0.847	0.821	0.965	0.995	0.827	0.850	0.624	0.136	0.715	0.857	0.786	1.980	0.300	-0.11	0.82	1.02	0.28	-2.27	0.01
bmr4560	2BF5B	1.71	100.0	102	0		1	1	1	1	1	0.867	0.878	0.966	0.991	0.835	0.893	0.637	0.126	0.918	0.874	0.628	1.887	0.271	-0.04	-0.37	0.14	0.07	-1.41	-0.12
bmr4562	1VDQA	1.50	100.0	129	0	1	1	1			1	0.893	0.926	0.964	0.993	N/A	N/A	0.691	0.125	0.882	0.844	N/A	N/A	0.269	-0.03	-0.33	-0.32	N/A	N/A	0.02
bmr4563	1DWYA	NMR	96.1	102	5	1	1	1		1	1	0.775	0.775	0.973	0.994	N/A	0.668	0.467	0.150	0.724	0.913	N/A	2.064	0.331	-0.03	0.28	0.41	N/A	-0.25	-0.11
bmr4565	1QIBA	2.80	95.6	158	6	1	1	1	1	1	1	0.843	0.864	0.971	0.993	0.803	0.865	0.560	0.168	0.688	0.950	0.892	1.870	0.465	0.01	0.19	0.50	0.13	-0.53	0.02
bmr4567	1FZYA	1.90	99.3	149	2		1	1	1	1	1	0.867	0.881	0.975	0.996	0.843	0.818	0.689	0.136	0.649	0.690	0.799	1.952	0.305	-0.05	-0.03	-0.09	0.14	-0.55	-0.04
bmr4568	1J3FA	1.45	98.7	153	-1	1	1	1	1	1	1	0.688	0.623	0.951	0.998	0.223	0.843	0.488	0.154	0.924	0.494	1.213	1.615	0.264	-0.11	0.93	-0.22	0.79	-0.79	0.05
bmr4570	1C8CA	1.45	96.8	62	-1						1	0.723	0.790	N/A	N/A	N/A	N/A	0.656	0.163	N/A	N/A	N/A	N/A	0.295	-0.05	N/A	N/A	N/A	N/A	-0.08
bmr4573	1DHN_	1.65	100.0	121	0	1	1	1	1	1	1	0.741	N/A	0.974	0.991	0.285	0.902	0.554	N/A	0.836	1.077	1.283	1.527	0.404	N/A	0.95	0.99	0.35	-0.46	0.01
bmr4577	1QD7C	5.50	100.0	1	16		1	1	1	1	1	0.577	0.296	0.865	0.989	0.522	0.575	0.215	0.183	1.301	1.025	1.143	2.562	0.432	0.02	-1.44	0.52	-0.94	0.42	0.10
bmr4579	1JOCA	2.20	100.0	86	-37	1	1	1	1	1	1	0.764	0.787	0.914	0.996	0.637	0.750	0.498	0.145	0.992	0.799	0.897	2.068	0.339	-0.06	0.33	-0.17	0.27	-1.68	-0.16
bmr4581	1D1OA	NMR	97.3	75	-1					1	1	0.772	0.844	N/A	N/A	N/A	0.835	0.636	0.150	N/A	N/A	N/A	1.420	0.320	-0.05	N/A	N/A	N/A	-0.16	0.03
bmr4584	1DP3A	NMR	100.0	55	0	1				1	1	0.337	0.162	N/A	N/A	N/A	0.526	0.322	0.187	N/A	N/A	N/A	2.226	0.337	0.04	N/A	N/A	N/A	-0.37	-0.01
bmr4585	1DU9A	NMR	100.0	28	0	1					1	0.627	0.611	N/A	N/A	N/A	N/A	0.643	0.175	N/A	N/A	N/A	N/A	0.325	0.07	N/A	N/A	N/A	N/A	0.14
bmr4587	1OKHB	1.75	100.0	46	0	1					1	0.811	0.830	N/A	N/A	N/A	N/A	0.793	0.140	N/A	N/A	N/A	N/A	0.275	-0.05	N/A	N/A	N/A	N/A	-0.16
bmr4589	1EHXA	NMR	100.0	94	0	1				1	1	0.557	0.550	N/A	N/A	N/A	0.724	0.398	0.180	N/A	N/A	N/A	2.200	0.467	-0.05	N/A	N/A	N/A	-0.36	0.06
bmr4590	1EIHA	NMR	100.0	73	0		1	1		1	1	0.836	0.701	0.939	0.993	N/A	0.749	0.796	0.166	0.787	0.859	N/A	2.044	0.298	0.03	0.05	0.33	N/A	-1.15	-0.09
bmr4591	1EJQB	NMR	100.0	28	0	1					1	0.277	0.419	N/A	N/A	N/A	N/A	0.136	0.175	N/A	N/A	N/A	N/A	0.394	0.17	N/A	N/A	N/A	N/A	-0.24
bmr4592	1EJQA	NMR	100.0	28	0	1					1	0.517	0.517	N/A	N/A	N/A	N/A	-0.001	0.186	N/A	N/A	N/A	N/A	0.399	0.17	N/A	N/A	N/A	N/A	-0.32
bmr4593	1EOQA	NMR	100.0	77	0	1	1	1		1	1	0.845	0.827	0.984	0.996	N/A	0.854	0.562	0.151	0.643	0.801	N/A	1.677	0.329	0.01	-0.36	-0.27	N/A	-0.70	-0.16
bmr4595					0	1					1	0.319	0.526	0.000	0.000	0.000	0.000	0.111	0.260	0.000	0.000	0.000	0.000	0.329	-0.11	0.00	0.00	0.00	0.00	-0.09
bmr4596	1CKXA	NMR	100.0	26	0	1					1	0.318	0.254	N/A	N/A	N/A	N/A	0.381	0.207	N/A	N/A	N/A	N/A	0.308	-0.08	N/A	N/A	N/A	N/A	-0.17
bmr4597	1CKXA	NMR	100.0	25	0	1					1	0.344	0.376	N/A	N/A	N/A	N/A	0.311	0.198	N/A	N/A	N/A	N/A	0.389	-0.20	N/A	N/A	N/A	N/A	-0.24
bmr4598	1CKWA	NMR	100.0	25	0						1	0.534	0.646	N/A	N/A	N/A	N/A	0.422	0.145	N/A	N/A	N/A	N/A	0.297	-0.12	N/A	N/A	N/A	N/A	-0.30
bmr4599	7HSCA	NMR	100.0	159	0		1	1	1	1	1	0.676	0.610	0.938	0.986	0.663	0.548	0.314	0.187	0.933	1.147	1.013	2.220	0.387	-0.10	0.02	-0.21	0.00	-0.90	-0.15
bmr4603	1HQBA	NMR	100.0	80	0	1	1	1	1	1	1	0.738	0.676	0.963	0.995	0.694	0.733	0.369	0.191	0.891	0.706	0.951	2.269	0.388	0.03	-0.07	0.31	-0.23	-0.48	-0.00
bmr4615	1DKCA	NMR	100.0	38	0	1					1	0.455	0.718	N/A	N/A	N/A	N/A	0.192	0.157	N/A	N/A	N/A	N/A	0.565	0.04	N/A	N/A	N/A	N/A	-0.18
bmr4616	1DX7A	NMR	100.0	48	0	1					1	0.404	0.554	N/A	N/A	N/A	N/A	0.253	0.153	N/A	N/A	N/A	N/A	0.342	-0.07	N/A	N/A	N/A	N/A	-0.20
bmr4617	1DXWA	NMR	96.9	163	0	1	1	1				0.892	N/A	0.944	0.840	N/A	N/A	N/A	N/A	0.793	1.038	N/A	N/A	N/A	N/A	-0.01	-0.39	N/A	N/A	N/A
bmr4619	1E0EB	NMR	100.0	46	0	1	1	1		1	1	0.783	0.681	0.951	0.995	N/A	0.763	0.524	0.150	1.109	0.877	N/A	1.604	0.354	0.02	1.93	1.98	N/A	-0.99	-0.02
bmr4620	1QLXA	NMR	99.0	104	6	1	1	1		1	1	0.773	0.709	0.965	0.995	N/A	0.717	0.481	0.154	0.861	0.843	N/A	1.354	0.337	-0.03	0.20	0.25	N/A	-0.12	-0.10
bmr4622	1QOJB	3.00	100.0	56	7		1	1		1	1	0.749	0.759	0.926	0.993	N/A	0.716	0.350	0.131	0.922	0.814	N/A	1.467	0.452	-0.04	-0.25	0.10	N/A	-0.49	0.04
bmr4623	2XBD_	NMR	98.9	87	0	1				1	1	0.690	0.654	N/A	N/A	N/A	0.875	0.542	0.164	N/A	N/A	N/A	2.082	0.379	-0.04	N/A	N/A	N/A	-1.05	-0.19
bmr4628	1G9EA	NMR	100.0	117	0	1					1	0.570	0.671	N/A	N/A	N/A	N/A	0.468	0.183	N/A	N/A	N/A	N/A	0.402	-0.04	N/A	N/A	N/A	N/A	-0.14
bmr4633	1MOLB	1.70	96.7	91	0	1					1	0.840	0.897	N/A	N/A	N/A	N/A	0.782	0.165	N/A	N/A	N/A	N/A	0.303	-0.05	N/A	N/A	N/A	N/A	-0.13
bmr4636	1F3VA	2.00	100.0	158	7	1	1	1		1	1	0.811	0.801	0.962	0.988	N/A	0.720	0.586	0.139	0.829	0.856	N/A	1.839	0.348	-0.05	0.46	0.44	N/A	-0.77	-0.02
bmr4637	1AKHA	2.50	98.0	49	11	1	1	1		1	1	0.794	0.708	0.949	0.994	N/A	0.740	0.577	0.169	1.141	0.922	N/A	1.778	0.220	0.04	3.16	2.73	N/A	-2.69	0.05
bmr4638	1IV7A	1.82	100.0	94	0	1				1	1	0.866	0.878	N/A	N/A	N/A	0.916	0.805	0.151	N/A	N/A	N/A	1.552	0.252	-0.09	N/A	N/A	N/A	-1.00	-0.15
bmr4639	1FEXA	NMR	100.0	59	0	1					1	0.527	0.704	N/A	N/A	N/A	N/A	0.351	0.161	N/A	N/A	N/A	N/A	0.340	0.16	N/A	N/A	N/A	N/A	-0.15
bmr4641	1FO7A	NMR	99.0	104	39	1	1	1	1	1	1	0.756	0.667	0.968	0.991	0.796	0.645	0.471	0.172	0.861	1.003	0.771	1.991	0.355	0.02	-0.29	0.00	-0.00	-0.43	-0.17
bmr4642	1FD3D	1.35	100.0	41	0	1					1	0.728	0.770	N/A	N/A	N/A	N/A	0.686	0.163	N/A	N/A	N/A	N/A	0.319	0.11	N/A	N/A	N/A	N/A	0.06
bmr4644	1Y0JB	NMR	100.0	36	0	1				1	1	0.542	0.555	N/A	N/A	N/A	0.553	0.517	0.177	N/A	N/A	N/A	2.048	0.268	-0.00	N/A	N/A	N/A	0.48	-0.05
bmr4645	1FWOA	NMR	100.0	35	0	1					1	0.471	0.438	N/A	N/A	N/A	N/A	0.504	0.188	N/A	N/A	N/A	N/A	0.437	0.08	N/A	N/A	N/A	N/A	-0.26
bmr4648	1FZTA	NMR	100.0	211	0	1	1	1		1	1	0.740	0.650	0.955	0.992	N/A	0.748	0.356	0.180	0.894	0.966	N/A	2.197	0.433	0.05	0.05	0.28	N/A	0.42	0.23
bmr4649	1G03A	NMR	100.0	134	0		1	1	1	1	1	0.635	0.502	0.941	0.994	0.684	0.523	0.166	0.163	0.928	0.936	0.986	2.121	0.450	-0.01	-0.32	-0.03	-1.15	-0.85	-0.06
bmr4650	1M25A	NMR	100.0	26	0						1	0.399	0.399	N/A	N/A	N/A	N/A	-0.011	0.201	N/A	N/A	N/A	N/A	0.330	-0.21	N/A	N/A	N/A	N/A	-0.13
bmr4651					0						1	0.361	0.361	0.000	0.000	0.000	0.000	-0.112	0.248	0.000	0.000	0.000	0.000	0.387	-0.19	0.00	0.00	0.00	0.00	0.30
bmr4652					0						1	0.145	-0.070	0.000	0.000	0.000	0.000	0.145	0.496	0.000	0.000	0.000	0.000	0.530	0.00	0.00	0.00	0.00	0.00	-0.16
bmr4653					0	1					1	0.110	-0.045	0.000	0.000	0.000	0.000	0.110	0.363	0.000	0.000	0.000	0.000	0.500	-0.05	0.00	0.00	0.00	0.00	-0.02
bmr4655					0	1					1	0.315	0.436	0.000	0.000	0.000	0.000	0.194	0.219	0.000	0.000	0.000	0.000	0.232	-0.13	0.00	0.00	0.00	0.00	-0.02
bmr4656	1G26A	NMR	100.0	31	0						1	0.764	0.858	N/A	N/A	N/A	N/A	0.670	0.182	N/A	N/A	N/A	N/A	0.395	0.10	N/A	N/A	N/A	N/A	-0.24
bmr4661	1CY5A	1.30	100.0	93	0		1	1		1	1	0.792	0.798	0.970	N/A	N/A	0.784	0.615	0.135	0.635	N/A	N/A	1.676	0.278	0.09	0.07	N/A	N/A	0.51	0.15
bmr4663	1C3TA	NMR	100.0	76	0		1	1		1	1	0.807	0.829	0.964	0.996	N/A	0.769	0.477	0.164	0.855	0.801	N/A	1.809	0.356	-0.01	-0.26	0.07	N/A	0.09	-0.02
bmr4664	1JZUA	NMR	100.0	157	0	1	1	1	1	1	1	0.666	0.661	0.930	0.987	0.489	0.632	0.294	0.181	1.088	1.140	1.045	2.386	0.482	-0.02	-0.98	-0.83	-0.84	-0.35	-0.04
bmr4666	1DD2A	NMR	100.0	77	0	1	1	1		1	1	0.828	0.657	0.975	0.995	N/A	0.880	0.632	0.156	0.777	0.997	N/A	1.999	0.348	-0.02	0.90	0.83	N/A	0.47	-0.22
bmr4668	1IX5A	NMR	100.0	151	0	1	1	1	1	1	1	0.683	0.550	0.949	0.985	0.660	0.697	0.259	0.192	0.931	1.030	0.966	2.421	0.442	-0.07	-0.15	-0.20	0.04	-0.39	-0.23
bmr4669	1XCTP	3.05	100.0	44	0						1	0.656	0.656	N/A	N/A	N/A	N/A	N/A	0.168	N/A	N/A	N/A	N/A	N/A	-0.05	N/A	N/A	N/A	N/A	N/A
bmr4671	1H2OA	NMR	99.4	159	0	1	1	1	1	1	1	0.833	0.797	0.976	0.996	0.804	0.816	0.609	0.164	0.730	0.855	0.850	2.149	0.395	-0.03	-0.19	0.19	-0.20	-0.38	0.04
bmr4673	1EIOA	NMR	100.0	127	0	1					1	0.714	0.805	N/A	N/A	N/A	N/A	0.622	0.170	N/A	N/A	N/A	N/A	0.367	-0.10	N/A	N/A	N/A	N/A	-0.06
bmr4674	1EIJA	NMR	100.0	72	0	1	1	1		1	1	0.648	0.727	0.944	0.989	N/A	0.304	0.274	0.151	0.837	0.760	N/A	1.414	0.353	-0.15	-0.42	-0.07	N/A	-0.56	-0.10
bmr4675	1E17A	NMR	100.0	90	34	1	1	1	1	1	1	0.800	0.839	0.954	0.996	0.782	0.829	0.399	0.142	0.921	0.747	0.757	1.710	0.347	-0.07	0.02	-0.42	0.24	-0.08	-0.10
bmr4677	1EXKA	NMR	100.0	79	0	1	1	1	1	1	1	0.649	0.619	0.979	0.994	0.360	0.829	0.114	0.176	0.793	1.029	1.305	2.332	0.477	-0.10	0.46	-0.90	0.37	-2.38	-0.12
bmr4678	1EIKA	NMR	100.0	77	0	1	1	1		1	1	0.684	0.673	0.942	0.982	N/A	0.448	0.374	0.175	0.851	1.013	N/A	2.328	0.389	0.03	0.03	0.02	N/A	-3.07	0.01
bmr4679	2OW9B	1.74	100.0	164	0		1	1	1	1	1	0.811	0.748	0.966	0.995	0.589	0.891	0.675	0.165	0.774	0.904	0.819	1.727	0.346	-0.06	0.03	-0.01	0.21	-0.22	-0.04
bmr4684	1MHU_	NMR	96.8	31	1	1					1	0.454	0.555	N/A	N/A	N/A	N/A	0.353	0.202	N/A	N/A	N/A	N/A	0.396	-0.03	N/A	N/A	N/A	N/A	0.03
bmr4685	1DL0A	NMR	100.0	37	0	1					1	0.486	0.565	N/A	N/A	N/A	N/A	0.408	0.189	N/A	N/A	N/A	N/A	0.338	-0.00	N/A	N/A	N/A	N/A	-0.19
bmr4686	1EL0A	NMR	100.0	73	0	1					1	0.572	0.507	N/A	N/A	N/A	N/A	0.636	0.194	N/A	N/A	N/A	N/A	0.297	-0.04	N/A	N/A	N/A	N/A	-0.05
bmr4688	2J03S	2.80	100.0	99	9		1	1		1	1	0.648	0.512	0.911	0.987	N/A	0.668	0.163	0.177	1.010	1.150	N/A	2.383	0.413	-0.10	-0.07	-0.28	N/A	-0.41	-0.02
bmr4695	2EB9A	1.80	99.3	151	0		1	1		1	1	0.824	N/A	0.949	0.992	N/A	0.772	0.583	N/A	0.877	0.897	N/A	1.500	0.300	N/A	1.73	2.12	N/A	0.01	0.05
bmr4696	1C6WA	NMR	100.0	33	0						1	0.391	0.657	N/A	N/A	N/A	N/A	0.124	0.145	N/A	N/A	N/A	N/A	0.565	-0.03	N/A	N/A	N/A	N/A	-0.30
bmr4699	1EMZA	NMR	100.0	21	0	1					1	0.693	0.636	N/A	N/A	N/A	N/A	0.750	0.186	N/A	N/A	N/A	N/A	0.238	-0.13	N/A	N/A	N/A	N/A	0.17
bmr4701	1D9SA	NMR	100.0	136	0		1	1		1	1	0.642	0.485	0.971	0.994	N/A	0.636	0.123	0.168	0.827	0.900	N/A	2.091	0.392	0.05	-0.31	-0.00	N/A	-1.39	-0.17
bmr4703	1HA6A	NMR	100.0	70	0						1	0.646	0.650	N/A	N/A	N/A	N/A	0.642	0.190	N/A	N/A	N/A	N/A	0.373	-0.07	N/A	N/A	N/A	N/A	-0.11
bmr4704	1BCX_	1.81	98.4	185	0		1	1		1	1	0.915	N/A	0.962	0.996	N/A	0.912	0.790	N/A	0.776	0.799	N/A	1.959	0.380	N/A	-0.24	0.15	N/A	-1.40	0.10
bmr4705	1BCX_	1.81	98.4	185	0		1	1		1	1	0.905	N/A	0.970	0.996	N/A	0.878	0.777	N/A	0.820	0.852	N/A	1.985	0.378	N/A	-0.07	0.21	N/A	-1.49	0.12
bmr4706	1CX1A	NMR	100.0	153	0	1	1	1		1	1	0.712	0.604	0.963	0.991	N/A	0.728	0.276	0.194	0.925	1.200	N/A	2.504	0.498	-0.05	0.31	-0.39	N/A	-1.78	-0.07
bmr4712	1FMMS	NMR	100.0	132	0	1	1	1	1	1	1	0.586	0.347	0.926	0.974	0.322	0.586	0.361	0.180	1.016	1.198	1.247	2.561	0.502	0.02	0.03	-0.20	-0.35	-0.65	-0.17
bmr4713	1E0MA	NMR	100.0	37	0	1					1	0.768	0.871	N/A	N/A	N/A	N/A	0.664	0.153	N/A	N/A	N/A	N/A	0.291	0.02	N/A	N/A	N/A	N/A	-0.06
bmr4714	2NNTB	NMR	96.8	31	2	1					1	0.301	0.301	N/A	N/A	N/A	N/A	-0.175	0.209	N/A	N/A	N/A	N/A	0.522	0.19	N/A	N/A	N/A	N/A	0.06
bmr4716	1N4CA	NMR	100.0	182	0	1	1	1		1	1	0.718	0.578	0.965	0.990	N/A	0.682	0.376	0.159	0.839	0.897	N/A	2.261	0.396	0.03	-0.11	-0.20	N/A	-1.46	-0.10
bmr4717	1Y2GB	1.90	99.3	140	4		1	1	1	1	1	0.892	0.900	0.978	0.996	0.890	0.905	0.683	0.143	0.649	0.713	0.613	1.341	0.316	-0.00	-0.15	0.07	0.08	-0.17	-0.02
bmr4718	1BM9B	2.00	99.2	120	2		1	1	1	1	1	0.699	N/A	0.947	0.992	0.685	0.322	0.547	N/A	0.793	0.746	0.960	1.750	0.320	N/A	0.30	0.68	0.18	0.16	-0.03
bmr4721	1D8KA	NMR	100.0	81	0		1	1		1	1	0.831	0.781	0.971	0.994	N/A	0.778	0.633	0.134	0.765	0.711	N/A	2.245	0.305	-0.10	0.09	-0.15	N/A	-0.23	-0.16
bmr4727	2UUBP	2.80	100.0	83	0	1	1	1		1	1	0.837	0.838	0.972	0.995	N/A	0.813	0.566	0.156	0.721	0.676	N/A	1.913	0.345	-0.10	0.01	-0.01	N/A	-0.49	-0.01
bmr4731	1I1JB	1.39	100.0	103	4	1	1	1	1	1	1	0.795	0.617	0.950	0.993	0.614	0.860	0.736	0.160	1.097	0.896	1.141	1.794	0.302	0.02	2.36	2.15	2.75	-0.49	0.06
bmr4735	1F35A	2.30	95.1	162	1	1	1	1	1	1	1	0.840	0.718	0.964	0.992	0.746	0.833	0.787	0.162	0.779	0.887	0.870	1.838	0.259	-0.06	0.02	0.33	0.04	-0.87	-0.07
bmr4736	1QLZA	NMR	99.0	104	6	1	1	1		1	1	0.738	0.715	0.839	0.995	N/A	0.742	0.400	0.149	0.905	0.863	N/A	1.433	0.348	-0.00	0.33	0.53	N/A	-0.49	-0.14
bmr4739	1C7WA	NMR	100.0	68	6	1				1	1	0.668	0.749	N/A	N/A	N/A	0.764	0.492	0.144	N/A	N/A	N/A	1.878	0.344	0.02	N/A	N/A	N/A	1.19	-0.04
bmr4740	1GH9A	NMR	100.0	71	0	1	1	1		1	1	0.644	0.723	0.938	N/A	N/A	0.495	0.421	0.129	0.783	N/A	N/A	2.560	0.407	0.01	0.27	N/A	N/A	-1.73	-0.16
bmr4751	1IVMA	NMR	100.0	130	0	1				1	1	0.485	0.593	N/A	N/A	N/A	0.534	0.329	0.178	N/A	N/A	N/A	2.325	0.438	0.00	N/A	N/A	N/A	-0.02	0.12
